ClientId,ClientName,Address,TaxCode,Tag,ContactName,Email,Note,bankAccount
5318,TestDataTuanLe Tuan Le,xxx,xx,,TestData,xx@gmail.com,,
5318,TestDataTuanLe1 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe2 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe3 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe4 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe5 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe6 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe7 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe8 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
5318,TestDataTuanLe9 Tuan Le,xxx,xx,,TestData,xx@gmail.com,111,1111
